CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,69,29.3,88
2,Male,38,17.3,73
3,Male,28,28.0,85
4,Female,20,15.3,94
5,Female,47,18.2,74
6,Male,50,19.6,83
7,Female,42,19.4,85
8,Female,45,29.6,75
9,Female,64,24.3,79
10,Female,20,27.9,87
11,Male,56,15.2,93
12,Female,67,20.8,70
13,Female,37,18.6,87
14,Female,25,15.5,92
15,Female,67,24.9,77
16,Female,59,23.5,70
17,Female,43,21.7,79
18,Female,31,25.9,78
19,Female,40,22.8,94
20,Male,33,26.2,83
21,Female,43,29.5,85
22,Male,58,19.4,74
23,Male,24,21.4,79
24,Female,41,15.2,74
25,Female,52,26.9,85
26,Female,56,24.8,92
27,Male,25,21.7,72
28,Male,40,25.0,86
29,Female,57,19.1,84
30,Male,54,29.6,91
31,Male,43,18.5,76
32,Male,26,25.7,72
33,Female,30,18.0,92
34,Male,69,23.4,87
35,Male,40,24.1,83
36,Male,53,29.1,84
37,Male,39,28.2,85
38,Female,23,21.8,75
39,Female,47,28.2,78
40,Male,45,20.3,92
41,Male,44,82.8,90
42,Male,20,70.2,82
43,Male,54,90.8,76
44,Female,32,75.0,75
45,Female,58,82.1,71
46,Female,69,77.4,87
47,Male,66,74.4,94
48,Male,66,99.3,80
49,Male,54,80.4,85
50,Female,19,85.9,81
51,Female,49,87.8,72
52,Female,34,91.8,79
53,Female,51,89.0,83
54,Female,33,95.1,78
55,Female,33,71.2,84
56,Male,53,70.5,82
57,Male,37,89.4,74
58,Male,57,81.6,93
59,Male,28,80.2,72
60,Male,48,96.3,76
61,Female,33,94.5,83
62,Female,66,77.3,72
63,Female,22,97.0,85
64,Male,58,80.5,88
65,Male,37,96.6,89
66,Female,69,72.5,74
67,Female,57,88.2,70
68,Female,42,89.9,70
69,Female,63,86.5,87
70,Female,58,75.3,70
71,Female,38,75.4,79
72,Female,24,91.6,77
73,Female,29,85.3,85
74,Female,63,87.7,94
75,Male,25,88.9,89
76,Female,50,87.3,82
77,Male,65,78.4,70
78,Male,34,99.8,81
79,Female,23,81.1,70
80,Female,46,82.8,94
81,Male,50,72.3,12
82,Female,40,78.1,17
83,Female,42,81.8,26
84,Male,57,72.1,10
85,Male,39,80.8,11
86,Female,19,79.7,26
87,Male,60,91.3,18
88,Female,43,94.3,26
89,Male,24,85.0,24
90,Male,25,91.1,24
91,Female,68,80.1,14
92,Female,49,87.3,5
93,Male,39,87.7,5
94,Female,59,94.7,14
95,Female,54,85.7,24
96,Female,61,88.7,7
97,Male,49,85.9,18
98,Male,57,91.8,29
99,Female,59,79.7,24
100,Male,36,83.2,6
101,Male,43,98.9,25
102,Male,29,82.3,9
103,Male,64,77.5,18
104,Female,42,89.8,11
105,Female,56,89.7,15
106,Male,20,77.4,13
107,Male,39,70.4,7
108,Male,64,71.2,26
109,Female,22,84.2,7
110,Female,38,84.2,9
111,Female,54,82.0,20
112,Male,53,71.4,14
113,Female,36,85.1,26
114,Male,62,74.9,6
115,Male,19,70.8,19
116,Male,37,87.3,14
117,Female,50,83.7,18
118,Male,29,81.6,29
119,Female,60,75.9,6
120,Male,63,70.5,7
121,Male,40,16.1,12
122,Female,27,15.3,25
123,Male,24,16.8,22
124,Male,28,28.2,23
125,Male,53,17.7,23
126,Female,52,29.9,15
127,Female,66,26.6,13
128,Female,49,27.9,15
129,Male,40,26.3,7
130,Male,66,22.6,25
131,Female,30,28.4,14
132,Female,58,27.7,13
133,Female,31,25.2,17
134,Female,64,16.2,7
135,Female,42,23.3,10
136,Male,40,26.7,7
137,Male,59,29.6,29
138,Female,22,26.1,18
139,Male,35,29.5,22
140,Female,61,28.0,25
141,Female,30,18.3,14
142,Male,19,16.2,7
143,Male,25,20.6,14
144,Female,34,29.2,29
145,Female,53,20.6,7
146,Male,61,23.4,15
147,Female,36,16.7,17
148,Male,67,22.0,6
149,Female,25,16.8,21
150,Male,20,23.8,29
151,Male,66,16.2,18
152,Male,23,27.0,29
153,Male,64,28.4,18
154,Male,54,18.8,22
155,Male,35,17.5,10
156,Male,48,29.9,22
157,Male,33,26.1,27
158,Female,49,15.9,14
159,Female,45,20.0,9
160,Female,43,20.8,10
161,Female,45,49.0,46
162,Male,34,47.0,50
163,Male,45,46.8,43
164,Male,23,63.7,58
165,Male,42,50.5,63
166,Female,62,44.1,50
167,Female,18,52.0,64
168,Male,38,58.7,49
169,Male,44,54.2,41
170,Male,52,43.3,40
171,Male,23,57.3,53
172,Male,55,62.8,54
173,Male,54,58.9,49
174,Male,31,45.1,46
175,Male,30,45.2,61
176,Female,49,41.2,46
177,Male,43,52.5,51
178,Male,67,61.3,53
179,Male,47,61.9,50
180,Female,64,50.5,59
181,Female,19,60.1,62
182,Female,51,48.8,54
183,Female,32,50.9,62
184,Female,55,51.3,62
185,Female,59,61.6,63
186,Female,27,63.2,52
187,Female,37,51.5,64
188,Male,19,48.2,55
189,Female,28,41.9,43
190,Male,33,43.8,43
191,Female,21,44.5,48
192,Male,49,51.8,56
193,Female,68,41.0,44
194,Female,59,44.4,42
195,Male,22,51.5,45
196,Female,66,52.6,57
197,Male,43,60.0,55
198,Male,47,43.9,49
199,Male,43,61.7,42
200,Male,69,45.2,49
